title,link,tag,desc,page
"Chinese Foreign Ministry calls US claims over spy flight 'information warfare,' insists it was harmless",https://www.foxnews.com/us/chinese-foreign-ministry-calls-us-claims-over-spy-flight-information-warfare-insists-harmless,CHINA,"China is accusing the United States of information warfare after insisting its surveillance balloon shot down off the coast of South Carolina was a ""civilian meteorological airship.""",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"McCaul targets China, Afghanistan withdrawal as top oversight priorities: ‘I have subpoena power’",https://www.foxnews.com/politics/mccaul-targets-china-afghanistan-withdrawal-top-oversight-priorities-subpoena-power,FOREIGN POLICY,The chairman of the House Foreign Affairs Committee is not afraid to use subpoena power to get the answers he needs from the administration on the Afghanistan withdrawal and China.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Republicans rip Biden after Chinese spy balloon shot down: ‘Our enemies used to fear us’,https://www.foxnews.com/politics/republicans-rip-biden-after-chinese-spy-balloon-shot-down-our-enemies-used-to-fear-us,POLITICS,Several congressional Republicans tore into President Biden after the Chinese spy balloon that hovered over the U.S. for several days was shot down off the coast of South Carolina.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Rep. Mark Green: The Biden admin recognizes that this is weakness on the global stage,https://www.foxnews.com/video/6319760041112,VIDEO,"Rep. Mark Green, R-Tenn., responds to the movement of the Chinese spy balloon and being uninformed of its actions by the Biden administration on 'Fox News @ Night.'",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Ilhan Omar claims House Republicans are exacting 'vengeance' for 'their master' Trump,https://www.foxnews.com/media/ilhan-omar-house-republicans-exacting-vengeance-master-trump,MEDIA,"Rep. Ilhan Omar, D-Minn., appeared on MSNBC’s “The ReidOut” Wednesday night to discuss efforts by House Republicans to have her removed from the Foreign Affairs Committee.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Taiwan Parliament speaker says country is a ‘beacon of democracy for Chinese-speaking peoples’,https://www.foxnews.com/world/speaker-taiwan-parliament-says-country-a-beacon-democracy-chinese-speaking-peoples,FOREIGN AFFAIRS,"The speaker of Taiwan's parliament addressed the International Religious Freedom Summit in Washington, D.C., Wednesday and warned of the growing threat posed by China.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"US-Cuba dialogue focuses on 'law enforcement' concerns, congressional members warn against 'appeasement'",https://www.foxnews.com/world/us-cuba-dialogue-focuses-law-enforcement-concerns-congressional-members-warn-appeasement,CUBA,"Cuba still protects over 70 fugitives who fled the United States in order to avoid criminal punishment, and congressional members have demanded their extradition.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Monitoring China is a 'terrific initiative' by Kevin McCarthy: Michael Allen,https://www.foxnews.com/video/6318730356112,VIDEO,Beacon Global Strategies managing director Michael Allen breaks down why House members should take a closer look at America's relationship with China on 'Fox News Live.',https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
United Kingdom Prime Minister Rishi Sunak pledges to work constructively with Scotland's leader,https://www.foxnews.com/world/united-kingdom-prime-minister-rishi-sunak-pledges-work-constructively-scotlands-leader,UNITED KINGDOM,"Rishi Sunak, the prime minister of the United Kingdom, visited Scotland this week. During Sunak's visit, he pledged to work constructively with Scottish First Minister Nicola Sturgeon.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Israeli ambassador slams UN for meeting over visit to Temple Mount,https://www.foxnews.com/world/israeli-ambassador-slams-un-meeting-visit-temple-mount,ISRAEL,"Supporters of Minister Itamar Ben-Gvir stress that he did not walk on the site of the Holy of Holies and did not pray, thereby avoiding any violations of policy.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Mike Pence blasts Biden for 'ill-advised' trade of Russian arms dealer for Brittney Griner's release,https://www.foxnews.com/media/mike-pence-blasts-biden-ill-advised-trade-russian-arms-dealer-brittney-griner-release,FOX NEWS FLASH,Former Vice President Mike Pence on Friday reacted to the prisoner swap President Biden negotiated with Russia for the release of U.S. basketball star Brittney Griner.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"GOP veteran congressmen demand DOD, State Dept. respond to Iran attacks on US interests in Iraq",https://www.foxnews.com/politics/gop-veteran-congressmen-demand-dod-state-dept-respond-iran-attacks-us-interests-iraq,POLITICS,Two veteran GOP congressmen sent a letter to secretaries Lloyd Austin and Antony Blinken demanding they respond to the recent Iranian attacks on U.S. interests in Iraq.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Biden not ‘capable’ of projecting strength during upcoming meeting with China’s Xi: McCaul,https://www.foxnews.com/politics/biden-not-capable-projecting-strength-upcoming-meeting-chinas-xi-mccaul,CHINA,"Rep. Michael McCaul, who is anticipated to chair the House Foreign Affairs Committee, fears Biden cannot show strength in his upcoming international meetings.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Impending Iran threat tests US-Saudi relationship after OPEC+ decision,https://www.foxnews.com/politics/impending-iran-threat-tests-us-saudi-relationship-opec-decision,SAUDI ARABIA,"President Biden threatened Saudi Arabia with 'consequences' for the OPEC+ cut in oil production, but the two countries are now cooperating in the face of an Iranian threat.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
GOP lawmakers demand answers from John Kerry over ‘effectively outsourcing’ US policy-making,https://www.foxnews.com/politics/gop-lawmakers-demand-answers-john-kerry-over-effectively-outsourcing-us-policy-making,POLITICS,Rep. Michael McCaul led his fellow GOP foreign affairs committee members in a letter to Climate Envoy John Kerry over green groups playing a key role in crafting US foreign policy.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
US urges UN court to toss out Iranian frozen assets case,https://www.foxnews.com/world/us-urges-un-court-toss-out-iranian-frozen-assets-case,IRAN,The US urged the International Court of Justice to throw out a case where Iran seeks to take back frozen assets awarded by the US Supreme Court to victims of a 1983 bombing in Lebanon.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Harris: Authoritarians can point to Dobbs decision to justify taking away rights,https://www.foxnews.com/politics/harris-authoritarians-can-point-dobbs-decision-justify-taking-away-rights,KAMALA HARRIS,"Vice President Kamala Harris stated that with the Supreme Court overturning Roe v. Wade, the U.S. has lost authority on the world stage to talk about human rights.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Details of foreign country's nuclear capabilities among documents FBI seized from Mar-a-Lago: report,https://www.foxnews.com/politics/details-foreign-countrys-nuclear-capabilities-documents-fbi-seized-mar-a-lago-report,FBI,"Information included in the documents the FBI seized in a raid of Mar-a-Lago contained a descirption of a foreign country's nuclear capabilities, the Washington Post reported.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"US ambassador to Russia, John Sullivan, leaves post",https://www.foxnews.com/politics/us-ambassador-russia-john-sullivan-leaves-post,RUSSIA,John Sullivan is stepping down as U.S. ambassador to the Russian Federation after nearly three years in the role and a public-service career that spanned four decades.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Britain's new prime minister: Who will it be and when does the term begin?,https://www.foxnews.com/world/britains-new-prime-minister-take-power,UNITED KINGDOM,Liz Truss stands ready to take control as polling among party members consistently showed her in a commanding lead over rival Rishi Sunak following Boris Johnson's resignation.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
US bypasses Taliban with relief funds; regime demands control over frozen money,https://www.foxnews.com/world/us-bypasses-taliban-relief-funds-regime-demands-control-frozen-money,AFGHANISTAN,The U.S. provided $720 million in humanitarian relief to Afghanistan in the first six months following the withdrawal. The money was directed through NGOs.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Afghanistan withdrawal: The long-term security and economic implications according to experts, officials",https://www.foxnews.com/media/afghanistan-withdrawal-long-term-security-economic-implications-according-to-experts-officials,AFGHANISTAN,"The botched withdrawal from Afghanistan hindered the U.S. ability to monitor security challenges in the region, and ceded ground to China, warned experts and lawmakers.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
US to hold wide-ranging trade talks with Taiwan amid tensions with China,https://www.foxnews.com/world/us-hold-wide-ranging-trade-talks-taiwan-tensions-china,CHINA,The U.S. and Taiwan announced an agreement Wednesday to hold trade talks this fall following U.S. House Speaker Nancy Pelosi's controversial visit and heightened tensions with China.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China reaffirms threat of military force to annex Taiwan,https://www.foxnews.com/world/china-reaffirms-threat-military-force-annex-taiwan,CHINA,China confirmed its threat to use military force against Taiwan following military exercises in the region. The exercises have raised tensions between the sides to new highs.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"China halts military, climate talks with US in retaliation for Pelosi visit",https://www.foxnews.com/world/china-halts-military-climate-talks-us-retaliation-pelosi-visit,CHINA,China has announced it will be suspending collaborative dialogues with the U.S. about key issues such as climate change and illicit drug distribution as retaliation against U.S. relations with Taiwan.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Chinese ballistic missiles land inside Japan's exclusive economic zone for first time,https://www.foxnews.com/world/chinese-ballistic-missiles-land-inside-japan-exclusive-economic-zone-first-time,CHINA,"Five missiles filed by China landed in Japanese-controlled water, Japan's Ministry of Defense said Thursday, after House Speaker Nancy Pelosi's Taiwan visit.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Pelosi doesn't mention Taiwan in South Korea, as China launches retaliatory missile strikes",https://www.foxnews.com/politics/pelosi-doesnt-mention-taiwan-south-korea-china-launches-retaliatory-missile-strikes,NANCY PELOSI,House Speaker Nancy Pelosi spoke with South Korean government officials Thursday in the latest stop on her congressional delegation's tour of Asian ally nations.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Blinken tries to smooth over Pelosi Taiwan visit, warns against Chinese escalation",https://www.foxnews.com/politics/blinken-tries-smooth-pelosi-taiwan-visit-warns-chinese-escalation,CHINA,"Secretary of State Antony Blinken commented Thursday on House Speaker Nancy Pelosi's trip to Taiwan, saying that the U.S. ""One China"" policy remains unchanged.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China launches live-fire military drills around Taiwan in fury after Pelosi visit,https://www.foxnews.com/world/china-launches-live-fire-military-drills-taiwan-fury-pelosi-visit,CHINA,The People's Liberation Army of China is holding live-fire drills near Taiwan in the aftermath of House Speaker Nancy Pelosi's historic visit to the disputed island.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
US watching if China will use Pelosi Taiwan trip as 'excuse' for 'escalatory' action,https://www.foxnews.com/politics/us-watching-china-use-pelosi-taiwan-trip-excuse-escalatory-action,NANCY PELOSI,U.S. government officials are watching to see if China will escalate aggression toward Taiwan after House Speaker Nancy Pelosi's trip to the disputed island nation.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Pelosi defies China during meeting with Taiwanese President Tsai Ing-wen: 'We will not abandon our commitment',https://www.foxnews.com/world/pelosi-defies-china-during-meeting-taiwan-president-we-will-not-abandon-our-commitment,WORLD,"House Speaker Nancy Pelosi's visit to Taiwan included a meeting with Taiwanese President Tsai Ing-wen, where the American lawmaker reaffirmed the U.S. commitment to supporting Taiwan.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Kennedy defends Pelosi's Taiwan visit; questions if it's an 'ego' trip ahead of midterms,https://www.foxnews.com/media/kennedy-defends-pelosi-taiwan-visit-questions-ego-trip-ahead-midterms,FOX NEWS FLASH,"House Speaker Nancy Pelosi is receiving mixed reactions for her tenuous trip to Taiwan, wherein she arrived earlier Tuesday local Taipei time, reports said.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Nancy Pelosi lands in Taiwan amid Chinese threats, military activity",https://www.foxnews.com/politics/nancy-pelosi-lands-taiwan-chinese-threats-military-activity,CHINA,"House Speaker Nancy Pelosi touches down on the island of Taiwan for diplomatic visit after weeks of speculation, threats, and warnings from the Chinese Communist Party.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"China furious after Pelosi lands in Taiwan, promises 'all necessary measures' to defend itself",https://www.foxnews.com/world/china-furious-pelosi-lands-taiwan-promises-all-necessary-measures-defend-itself,CHINA,The Ministry of Foreign Affairs for the People's Republic of China released a lengthy statement Tuesday after House Speaker Nancy Pelosi landed in Taiwan.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Pelosi Taiwan trip: 4 US warships positioned east of island,https://www.foxnews.com/world/pelosi-taiwan-trip-4-us-warships-positioned-east-island,CHINA,A Pentagon spokesperson confirmed to Fox News that the USS Ronald Reagan is currently operating in the Phillipine Sea near Taiwan in what the military said is standard drills.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Pelosi's Taiwan plans: Kirby pressed on claims White House is trying to 'placate' China,https://www.foxnews.com/media/pelosi-taiwan-plans-kirby-pressed-claims-white-house-trying-placate-china,CHINA,"House Speaker Nancy Pelosi, D-Calif., has not yet confirmed she will visit Taiwan against the wishes of the Chinese Communist Party, the White House said Monday.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China announces live-fire naval exercises ahead of possible Pelosi Taiwan visit,https://www.foxnews.com/world/china-announces-live-fire-naval-exercises-possible-pelosi-taiwan-visit,CHINA,China announced plans for a series of live-fire naval demonstrations in the Taiwan strait as the world watches House Speaker Nancy Pelosi's Asia trip.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Chinese state media personality suggests shooting down Pelosi's plane in Taiwan,https://www.foxnews.com/world/chinese-state-media-suggests-shooting-down-pelosi-plane-taiwan,CHINA,"Hu Xijin, the former Chief Editor of Chinese state tabloid Global Times, suggested China shoot down House Speaker Nancy Pelosi's plane if she refuses to abandon plans to visit Taiwan.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Biden-Xi call lasts more than 2 hours; Beijing warned the US not to 'play with fire' on Taiwan,https://www.foxnews.com/politics/biden-xi-call-take-place-thursday-morning,CHINA,"Chinese President Xi Jinping warned U.S. President Biden against against playing ""with fire"" on the Taiwan question amid House Speaker Nancy Pelosi's potential visit.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Navy lieutenant sentenced in Japan causes outcry among family, US lawmakers",https://www.foxnews.com/us/navy-lieutenant-sentenced-japan-causes-outcry-family-lawmakers,NAVY,"The family of U.S. Navy Lieutenant Ridge Alkonis, now imprisoned in Japan following a fatal car crash, is calling for his release, with the aid of bipartisan lawmakers in the U.S.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Democratic foreign policy experts divided on Pelosi's trip to Taiwan: 'good for her,' 'not a good idea'",https://www.foxnews.com/media/democratic-foreign-policy-experts-divided-pelosis-trip-taiwan-good-her-idea,CHINA,"House Speaker Nancy Pelosi is reportedly planning to visit Taiwan in August, provoking both criticism and praise from Democratic foreign policy experts.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Sri Lanka's newly elected president sworn into office,https://www.foxnews.com/world/sri-lanka-newly-elected-president-sworn-office,ASIA,Sri Lanka's new president Ranil Wickremesinghe took office on Thursday after the former president fled the country and resigned last week during unrest and an economic crisis,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Syria formally breaks diplomatic ties with Ukraine,https://www.foxnews.com/world/syria-formally-breaks-diplomatic-ties-ukraine,UKRAINE,"Syria, a strong ally of Russian, has announced it will be formally breaking diplomatic ties with Ukraine in response to a similar move by Kyiv in recent months.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China warns of 'forceful measures' if U.S. House Speaker Pelosi visits Taiwan,https://www.foxnews.com/world/china-warns-forceful-measures-us-house-speaker-pelosi-visits-taiwan,CHINA,"China issued a statement warning of ""forceful measures"" if House Speaker Nancy Pelosi visits Taiwan. However, Pelosi's staff states she does not have a trip planned to Taiwan.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
House GOP warns of China's 'rapid expansion' in Indo-Pacific as Biden admin lays out vision for the region,https://www.foxnews.com/politics/house-gop-warns-chinas-rapid-expansion-indo-pacific-significant-threat-demand-answers-admin,CHINA,"House Republicans warn that China's expansion in the Indo-Pacific is a ""significant threat"" to the United States and allies around the globe. The Biden administration has made its concerns clear.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Competition with Russia, China revives need for soft power",https://www.foxnews.com/opinion/competition-russia-china-revives-need-soft-power,OPINION,Competing with Russia and China means the U.S. needs to bring back what worked in post-war Europe -- the Marshall Plan. It rebuilt nations and aided our economy.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Biden to host Southeast Asian leaders for May 12-13 summit,https://www.foxnews.com/politics/biden-to-host-southeast-asian-leaders-for-may-12-13-summit,POLITICS,The White House announced Saturday that President Joe Biden will be hosting the Association of Southeast Asian nations next month.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"California thieves steal everything from touring rock band, fans come to the rescue",https://www.foxnews.com/us/venezuelan-touring-rock-band-robbed-by-ca-thieves,CRIME,A group of Oakland thieves robbed a touring Venezuelan rock band of equipment and personal documents.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Biden ambassador nominees made substantial political donations, escalating decades-long bipartisan trend",https://www.foxnews.com/politics/biden-ambassador-nominees-political-donations,JOE BIDEN,Government watchdog American Accountability Foundation has published data showing contributions to various political campaigns from multiple ambassador nominees totaling in the millions.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"As Ukraine crisis escalates, analysts draw parallels to Taiwan and warn of potential Chinese invasion",https://www.foxnews.com/media/red-alert-china-vs-taiwan-fox-nation-martha-maccallum,CHINA,"As the crisis in Ukraine continues to escalate, analysts are drawing parallels to Taiwan, warning of the frightening possibility of China invading the sovereign island. Martha MacCallum hears from these experts in Fox Nation's new special, 'Red Alert: China vs. Taiwan.'",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Ukrainian charity collects $500K, tons of supplies within 1 month to aid the war effort",https://www.foxnews.com/world/ukrainian-charity-supplies,WORLD,"Vlada Galan, a Ukrainian-born U.S. citizen, couldn't stand to sit back and watch Russia's invasion of Ukraine from the United States while her father joined the country's war effort.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Russian forces shell Red Cross warehouse in Mariupol,https://www.foxnews.com/world/red-cross-shelled-mariupol,UKRAINE,"Russian forces attacked an empty Red Cross building in Mariupol, Ukraine, on Wednesday, according to the humanitarian aid organization.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Abraham Accords strengthened by fears over Iran's power,https://www.foxnews.com/world/abraham-accords-iran-power-mideast-blinken,MIDDLE EAST,Secretary of State Antony Blinken attended a historic U.S.-Middle East summit amid hopes of joining the Iran nuclear deal.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Optimism in Kyiv: Ukrainian newlyweds say they will fight until the 'last drop of blood',https://www.foxnews.com/world/kyiv-update-young-ukrainian-couple-married,UKRAINE,"The young Ukrainian couple who captured hearts around the world when they married early amid Russia's invasion and immediately joined the war effort are optimistic, but need help gathering supplies.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Shooting in Israel kills 2 police officers amid historic US-Mideast summit,https://www.foxnews.com/world/two-israelis-killed-shooting-attack-israel-u-s-mideast-summit,ISRAEL,"Two Israeli police officers were killed and six wounded in a Hadera shooting attack Sunday night, shortly before the historic U.S.-Mideast two-day summit.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Russia, Ukraine to resume in-person talks after Biden's overseas gaffes on troops in Ukraine, Putin's 'power'",https://www.foxnews.com/politics/biden-ukraine-russia-gaffes-peace-talks,UKRAINE,"Ukrainians and Russians are meeting in Turkey this week to discuss a potential cease-fire, despite a series of gaffes from President Biden last week.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Biden says Putin ‘cannot remain in power’ as he assures Ukraine: ‘We stand with you’,https://www.foxnews.com/politics/biden-says-putin-cannot-remain-in-power,JOE BIDEN,"President Biden on Saturday said that Russian President Vladimir Putin ""cannot remain in power,"" as he declared the Russian invasion of Ukraine a ""strategic failure"" while pledging continued support for the embattled Ukrainian people.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Ukrainian officials say 300 dead in Russian airstrikes on Mariupol theater sheltering children,https://www.foxnews.com/world/300-dead-mariupol-theater-russian-attacks,UKRAINE,"Officials representing Mariupol, a Ukrainian port city devastated by Russian missile attacks, on Friday announced that 300 people have died after Russian forces attacked a theater on Wednesday, citing eyewitnesses.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Half of Ukraine's children displaced: 'A grim milestone',https://www.foxnews.com/world/half-ukraine-children-displaced,UKRAINE,"More than 4.3 million Ukrainian children — over half of the 7.5 million children in the country — have been displaced due to Russia's war, according to the U.N.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Mariupol residents 'starving' as Russian occupation continues: 'Things are bad for my family',https://www.foxnews.com/world/ukraine-russia-mariupol-residents-starving,UKRAINE,"Residents of Mariupol, a strategically located port city in Ukraine that Russian forces have been shelling for weeks, are ""starving"" as attacks continue.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Russians reportedly panic-buying amid food shortage concerns due to Ukraine invasion,https://www.foxnews.com/world/russians-panic-buying-ukraine-invasion-consequences,RUSSIA,"Russian officials are urging people not to panic-buy food amid shortage concerns brought on by Russian President Vladimir Putin's war in Ukraine, according to reports.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Putin has 'no way out' of failed Ukraine invasion, former NATO ambassador says",https://www.foxnews.com/world/putin-failed-ukraine-invasion-former-nato-ambassador,VLADIMIR PUTIN,"Russian President Vladimir Putin has ""no way out"" of his weeks-long invasion of Ukraine, according to former U.S. Ambassador to NATO Kurt Volker.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Brittney Griner access demanded from Russia by US State Dept.,https://www.foxnews.com/sports/brittney-griner-access-russia-state-department-wnba,RUSSIA,"The U.S. State Department on Friday demanded that it be granted access to detained WNBA player Brittney Griner, an American from Texas who is being detained in Russia. ",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"5 charged with spying for China inside US; 3 arrested, 2 at large",https://www.foxnews.com/politics/doj-charges-spying-us-residents-china,JUSTICE DEPARTMENT,"The U.S. Justice Department has charged five individuals for targeting Chinese nationals living in the United States ""for their pro-democracy views.""",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Ukrainian TV channel says Russian hackers aired fake Zelenskyy statement,https://www.foxnews.com/world/ukrainian-tv-russian-hackers-zelenskyy,UKRAINE,A Ukraine TV channel on Wednesday claimed Russian hackers aired a fake statement from Ukrainian President Volodymyr Zelenskyy.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Russian forces occupy Mariupol hospital, hold patients and staff hostage: Ukrainian human rights group",https://www.foxnews.com/world/mariupol-hospital-occupied-russian-forces-report,UKRAINE,"Residents of Mariupol, Ukraine, have reportedly contacted a human rights organization with complaints that Russian forces have occupied an intensive care hospital.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
