title,link,tag,desc,page
North Carolina House advances ban on COVID-19 vaccine mandates,https://www.foxnews.com/politics/north-carolina-house-advances-ban-covid-19-vaccine-mandates,NORTH CAROLINA,The North Carolina House advanced a bill that would ban universities from requiring students to prove COVID vaccinations. The bill also prohibits schools from requiring booster shots.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Rand Paul dings 'self-interested' Fauci, lab-leak critics, scoffs at Biden 'caveats' on COVID info",https://www.foxnews.com/media/rand-paul-dings-self-interested-fauci-lab-leak-critics-scoffs-biden-caveats-covid-info,FOX NEWS FLASH,"Senator Rand Paul, R-Ky., joined 'The Story' to sound off on the latest news involving the origins of the coronavirus, after Biden signed a bipartisan bill.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Clay Travis: Kamala Harris is the only politician less popular than Biden,https://www.foxnews.com/video/6323029254112,VIDEO,OutKick founder Clay Travis roasts Vice President Harris amid reports she is expected to campaign for Biden in 2024. He also discusses Dr. Fauci's 2021 exchange with D.C. residents on the COVID vaccine.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Dr. Siegel on importance of getting answers on COVID origins,https://www.foxnews.com/video/6323022329112,VIDEO,Fox News medical contributor Dr. Marc Siegel on Biden signing a bill to declassify Wuhan lab leak documents,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Tomi Lahren: Americans deserve a 'giant apology' from Biden admin for pushing COVID restrictions,https://www.foxnews.com/video/6323015176112,VIDEO,OutKick host Tomi Lahren on Biden signing legislation to declassify COVID's origins and the president vetoing a bill that would protect 401(k) plans from ESG,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Josh Hawley says 'accountability' is next after Biden signs COVID declassification bill,https://www.foxnews.com/politics/josh-hawley-says-accountability-next-after-biden-signs-covid-declassification-bill,POLITICS,Sen. Josh Hawley gave his prediction of what comes next after President Biden signed a law allowing the Office of the Director of National Intelligence to declassify COVID origins.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Biden signs COVID declassification bill, hints at withholding some information",https://www.foxnews.com/politics/biden-signs-covid-declassification-bill-hints-withholding-some-information,JOE BIDEN,President Biden signed a bill that will declassify direct the federal government to declassify intelligence about the origins of COVID-19.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"New York AG Letitia James appeals court ruling blocking people from being forced into quarantine, isolation",https://www.foxnews.com/politics/new-york-attorney-general-letitia-james-appeals-court-ruling-blocking-people-forced-quarantine-isolation,DEMOCRATS,New York Attorney General Letitia James filed an appeal against a ruling by the state Supreme Court blocking a rule that allowed the state government to force people into quarantine.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"WATCH IT: Fauci, DC Mayor Bowser rejected as they sell COVID vaccine door-to-door",https://www.foxnews.com/politics/watch-fauci-dc-mayor-bowser-rejected-sell-covid-vaccine-door-door,ANTHONY FAUCI,"Dr. Anthony Fauci and Washington, D.C., Mayor Muriel Bowser get backlash from residents who refused to get the COVID-19 vaccine.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
WHO blasts China for withholding info on COVID origin after data pulled offline,https://www.foxnews.com/world/who-blasts-china-for-withholding-info-on-covid-origin-after-data-pulled-offline,CHINA,The World Heath Organization is calling for transparency from China after data with clues that could help determine the origin of COVID-19 was suddenly pulled offline.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"COVID-19 pandemic expected to end this year 'as a public health emergency,' says World Health Organization",https://www.foxnews.com/health/covid-19-pandemic-expected-end-this-year-public-health-emergency-says-world-health-organization,HEALTH,"Director of the World Health Organization (WHO), Dr. Tedros Adhanom Ghebreyesus, announced on Friday that he is “confident” the COVID-19 pandemic will end in 2023.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Novak Djokovic denied COVID-19 vaccine exemption, will not compete at Miami Open",https://www.foxnews.com/sports/novak-djokovic-denied-vaccine-exemption-will-compete-miami-open,TENNIS,World No. 1-ranked tennis player Novak Djokovic will not compete at the Miami Open next week after having his COVID-19 vaccine exemption denied.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
People 'have a right to be concerned' following latest Twitter Files release: Kara Frederick,https://www.foxnews.com/video/6322849435112,VIDEO,Heritage Foundation's Kara Frederick reacts to the Twitter Files release exposing COVID-19 information censorship pushed by a Stanford University group and concerns regarding TikTok.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Dr. Jay Bhattacharya on ‘absolutely shocking’ ‘Twitter Files’ COVID information: ‘Using fear to keep people silent’,https://www.foxnews.com/video/6322837413112,VIDEO,Stanford School of Medicine’s Dr. Jay Bhattacharya reacts to new revelations from the latest installment of the ‘Twitter Files’ which revealed efforts to suppress COVID information.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Older Americans reject more vaccines, opt instead for ‘natural healing,' says report",https://www.foxnews.com/health/older-americans-reject-more-vaccines-opt-instead-natural-healing-says-report,HEALTH,"Many adults 40 and older do not want immunizations, despite their general concerns about virus infections, as revealed in new research published by AARP.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Latest Twitter Files tackle 'Great Covid-19 Lie Machine' flagging true content as 'disinformation',https://www.foxnews.com/media/latest-twitter-files-tackle-great-covid-19-lie-machine-flagging-true-content-disinformation,TWITTER,Independent journalist Matt Taibbi went viral with the newest Twitter Files taking aim at Stanford University's Virality Project that it said was meant to 'mitigate' false narratives.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Rick Scott demands answers on NIH funding that went to Wuhan Institute of Virology,https://www.foxnews.com/politics/rick-scott-demands-answers-nih-funding-went-wuhan-institute-virology,CORONAVIRUS,Florida Sen. Rick Scott is calling for more information on how the National Institutes of Health monitors the flow of its federal grant dollars,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Trump calls for 'retribution' against China for role in COVID-19 pandemic,https://www.foxnews.com/politics/trump-calls-retribution-against-china-role-covid-19-pandemic,DONALD TRUMP,"Former President Trump on Friday released a campaign video calling for China to face ""retribution"" for its alleged role in the COVID-19 pandemic.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Eric Adams wants NYC to be 'place of God' after predecessor targeted religion throughout pandemic,https://www.foxnews.com/politics/eric-adams-wants-nyc-place-god-predecessor-targeted-religion-pandemic,NEW YORK CITY,"New York City Mayor Eric Adams called on residents to transform the city into ""a place of God,"" showing a contrast with his predecessor who imposed restrictions on religious gatherings.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"New York lowering minimum test scores for student proficiency in math, English: the 'new normal'",https://www.foxnews.com/us/new-york-lowering-minimum-test-scores-proficiency-math-english-report,EDUCATION,New York is lowering its minimum test scores to be deemed proficient in math and English after more students failed to meet standards during the coronavirus pandemic.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Over $700 million in COVID aid for US schools never made it to the classroom: study,https://www.foxnews.com/media/over-700-million-federal-aid-u-s-private-schools-never-made-classroom-study,MEDIA,A study by the National Opportunity Project found that $736 million of federal aid has not reached the nonpublic schools and students it was set aside for and at least $157 million has ended up back in the hands of governors,https://www.foxnews.com/category/health/infectious-disease/coronavirus
COVID and kids’ mental health: Financial hardship took a big toll,https://www.foxnews.com/health/covid-kids-mental-health-financial-hardship-took-toll,HEALTH,"A new study suggests that family economic hardship was the biggest driver of stress, sadness and COVID-19-related worry among kids -- more so than school closures.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Canada to remove mandatory COVID testing requirements for travelers from China,https://www.foxnews.com/world/canada-remove-mandatory-covid-testing-requirements-travelers-china,CANADA,Canada is removing its mandatory COVID-19 testing requirements for air travelers from China. Changes are due to improvement in case numbers.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
FDA advisers vote in favor of full approval for Pfizer's COVID pill Paxlovid,https://www.foxnews.com/us/fda-advisers-vote-favor-full-approval-pfizers-covid-pill-paxlovid,US,U.S. health regulators voted in favor of a full approval for Pfizer's COVID pill Paxlovid. This pill will will help adults who are at high risk of progression to severe virus.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Pregnancy-related deaths in US surged during pandemic,https://www.foxnews.com/us/pregnancy-related-deaths-us-surged-pandemic,US,Pregnancy-related deaths in the United States surged during the pandemic. UN agnecies reported that a spike in maternal mortality rates occurred in all parts of the world in 2020.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Sen. Rand Paul walks out of Homeland Security hearing after butting heads with Democrat chair over amendments,https://www.foxnews.com/politics/sen-rand-paul-suggests-gop-walk-out-of-homeland-security-hearing-after-butting-heads-with-democrat-chair,RAND PAUL,"Sen. Rand Paul, R-Ky., walked out of the Homeland Security hearing Wednesday after suggesting Sen. Gary Peters, D-Mich., was introducing a third-degree amendment to the Fire Grants and Safety Act.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
California church fights back after $2.8 million fine for defying COVID lockdown order,https://www.foxnews.com/media/california-church-fights-back-million-fine-defying-covid-lockdown-order,RELIGION,Calvary Chapel in Silicon Valley is counter-suing Santa Clara County over nearly $3 million in fines accumulated for violating COVID-19 lockdown orders.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
EcoHealth Alliance: Controversial group back in the spotlight for alleged 'double billing' of Wuhan lab work,https://www.foxnews.com/politics/ecohealth-alliance-controversial-group-spotlight-alleged-double-billing-wuhan-lab-work,POLITICS,"EcoHealth Alliance, a New York nonprofit, is back under a microscope following a report alleging they ""double billed"" two government agencies for Wuhan lab work.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Senate Republicans demand DOJ sue Chinese Communist Party over role in COVID-19 pandemic,https://www.foxnews.com/politics/senate-republicans-demand-doj-sue-chinese-communist-party-over-role-covid-19-pandemic,POLITICS,"Six Republican senators led by Sen. Rick Scott, R-Fla., are demanding the Justice Department sue the Chinese Communist Party for its role in the COVID-19 pandemic.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"West Virginia surpasses 8,000 COVID deaths since pandemic started",https://www.foxnews.com/us/west-virginia-surpasses-8000-covid-deaths-pandemic-started,WEST VIRGINIA,"West Virginia health figures released Wednesday show that the state has surpassed 8,000 COVID-19 deaths in the past three years. There have been 29 deaths reported this week.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
COVID vaccine update: FDA authorizes Pfizer booster for some children under age five,https://www.foxnews.com/health/covid-vaccine-update-fda-authorizes-pfizer-booster-some-children-under-age-five,HEALTH,"The U.S. Food and Drug Administration (FDA) has authorized a single booster dose of the Pfizer-BioNTech COVID-19 Vaccine, Bivalent for children 6 months through 4 years of age.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
US possibly scammed out of tens of millions by Wuhan Lab: reports,https://www.foxnews.com/politics/us-possibly-scammed-out-of-tens-of-millions-by-wuhan-lab-reports,US,The U.S. government may have made duplicate payments for projects at labs in China through the National Institutes of Health and the U.S. Agency for International Development,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Massachusetts Gov. Maura Healey announces state's COVID-19 public health emergency ends May 11,https://www.foxnews.com/us/massachusetts-gov-maura-healey-announces-states-covid-19-public-health-emergency-ends-may-11,MASSACHUSETTS,"The COVID-19 public health emergency in Massachusetts ends on May 11, according to Gov. Maura Healey. A vaccine mandate for executive branch state employees will also be rescinded.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
US reportedly double-billed for Wuhan lab research,https://www.foxnews.com/video/6322611773112,VIDEO,Dr. Marc Siegel reacts to a report on the U.S. being scammed by Wuhan and discusses spring breakers facing dangers of fentanyl.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Connecticut church fighting for freedom against vaccine mandate for children: 'The state has overstepped its authority',https://www.foxnews.com/video/6322610944112,VIDEO,Milford Christian Church Pastor Jim Loomer on his efforts to fight against a state vaccine mandate for his students,https://www.foxnews.com/category/health/infectious-disease/coronavirus
California care home charged in connection with 14 COVID deaths allegedly caused by carelessness,https://www.foxnews.com/us/california-care-home-charged-connection-14-covid-deaths-caused-carelessness,CALIFORNIA,A California care home and its managers are charged in connection with 14 COVID deaths. They allegedly failed to follow safety procedures that led to the deaths in 2020.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Parents push back as hundreds of colleges still mandate COVID vaccines,https://www.foxnews.com/video/6322608468112,VIDEO,No College Mandates co-founder Lucia Sinatra and parent Kristina Kristen join 'Fox & Friends First' to explain their opposition to COVID vaccine mandates.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"3 years after COVID, it's past time taxpayers stop funding this corrupt organization",https://www.foxnews.com/opinion/3-years-covid-past-time-taxpayers-stop-funding-corrupt-organization,OPINION,Justice demands accountability for all those who withheld and helped obscure information on the origins of the COVID pandemic.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Alabama House approves $1 billion plan for pandemic funds,https://www.foxnews.com/politics/alabama-house-approves-1-billion-plan-pandemic-funds,ALABAMA,"The Alabama House has approved a $1 billion plan for pandemic relief funds. The proposed plan would aid infrastructure projects, health care reimbursements, and broadband expansion.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Veru to proceed with late-stage study of COVID pill despite FDA snub,https://www.foxnews.com/us/veru-to-proceed-late-stage-study-covid-pill-despite-fda-snub,US,Veru has decided to proceed with a late-stage study of a COVID pill despite a health regulator declining to authorize it. The oral drug treats high-risk patients hospitalized with COVID-19.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Could COVID cause ‘face blindness'? Study suggests it’s possible,https://www.foxnews.com/health/could-covid-cause-face-blindness-study-suggests-possible,HEALTH,Researchers from Dartmouth College have reported the first instance of prosopagnosia (otherwise known as “face blindness”) as a symptom following COVID-19 infection.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Tilda Swinton is done with COVID mandates: 'I'm not wearing a mask',https://www.foxnews.com/entertainment/tilda-swinton-done-covid-mandates-im-not-wearing-mask,CORONAVIRUS,"Tilda Swinton discussed how the coronavirus pandemic had affected the film industry, as well as the sets actors work on. Swinton revealed she was over wearing masks.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
